area,level,year,household,parking,fuel,SNU,sratio,med,popden,edu,lnsubnet,lngreen,lnwater,spring,fall,winter,score,sentiment,lnprice,longitude,latitude
84.974,3,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.02570519,127.470424,36.28276
101.4,21,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.18111929,127.470424,36.28276
101.4,5,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.1266311,127.470424,36.28276
84.974,10,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.05620864,127.470424,36.28276
101.4,3,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.1266311,127.470424,36.28276
122.995,16,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.37349118,127.470424,36.28276
84.985,12,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.0795395,127.470424,36.28276
84.985,9,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.1064284,127.470424,36.28276
122.995,17,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.36722157,127.470424,36.28276
101.4,3,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.16969059,127.470424,36.28276
84.974,8,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,1,0,5,2.333877551,10.07744086,127.470424,36.28276
84.974,17,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.0647557,127.470424,36.28276
84.985,2,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.01681624,127.470424,36.28276
84.98,6,2011,713,1.34,0,2,100.5642923,40,430.1785714,21.4754008,8.52158269,6.042602457,6.493810187,0,0,1,5,2.333877551,10.01234196,127.470424,36.28276
